hashtag,window,score,mentions,reach,sentiment,rows_count
#Adventure,2024-05-30,-4.243387162393392,638126,2777747,-0.05999999999999999,9
#TechNews,2024-05-30,-4.76488874462627,1465858,5829656,0.018235294117647047,17
#FoodPorn,2024-05-30,-5.759729908531732,1188551,4532723,-0.09555555555555556,9
#History,2024-05-30,-5.9566737387877575,672628,2677706,-0.14875,8
#Startup,2024-05-30,-6.0729144314529675,773516,3333569,-0.12375,8
#Entrepreneur,2024-05-30,-6.245720267573805,797742,3020708,-0.2555555555555556,9
#SpaceX,2024-05-30,-6.3296165955243,654969,2339508,0.14,12
#Politics,2024-05-30,-6.505562280179619,978365,3592937,-0.22818181818181815,11
#Movies,2024-05-30,-6.797210566012103,943836,3865793,-0.048,10
#DeepLearning,2024-05-30,-7.442229156405631,1015248,4834650,0.2576923076923077,13
#ViralVideo,2024-05-30,-9.153168892842379,1008170,3562151,0.06461538461538462,13
#MetGala,2024-05-30,-9.297672395232244,599187,2363893,0.14555555555555558,9
#Sustainability,2024-05-30,-9.617405192898623,772431,3207213,0.015555555555555569,9
#Stocks,2024-05-30,-10.337360121087157,690434,1747749,0.24571428571428575,7
#Hiking,2024-05-30,-10.36987210046285,585874,1896692,0.068,5
#TravelTuesday,2024-05-30,-10.466538579354344,476976,2257014,0.04625,8
#CyberSecurity,2024-05-30,-11.825764121759448,308314,1608973,0.11499999999999999,6
#CyberSecurity,2024-05-31,44.22486087693093,1256596,4001939,-0.054166666666666675,12
#SpaceX,2024-05-31,43.671695250499,2288678,9673477,0.0885,20
#Stocks,2024-05-31,30.03448355936746,1998146,7923883,-0.0017647058823529297,17
#MetGala,2024-05-31,29.894475069744054,2000721,7501436,-0.19266666666666668,15
#TravelTuesday,2024-05-31,26.053753111201942,1128883,3503409,0.265,8
#Hiking,2024-05-31,20.327095880681757,1462410,5442823,-0.12399999999999999,15
#Finance,2024-05-31,20.31928417426429,2309414,8084989,-0.13157894736842105,19
#NFT,2024-05-31,19.51215864566782,2596979,9299484,-0.04000000000000001,22
#Adventure,2024-05-31,17.710390906727355,1299821,4618324,0.11300000000000002,10
#5G,2024-05-31,15.073708543076076,1869052,7284247,0.06318181818181817,22
#Startup,2024-05-31,14.571795192425471,1471738,5094556,0.04529411764705883,17
#Art,2024-05-31,13.064380271673201,1825404,6823525,0.07857142857142856,14
#SelfCare,2024-05-31,12.193802458359148,2761709,10841102,-0.10727272727272728,22
#Foodie,2024-05-31,11.556902695592488,1664601,5034807,-0.07333333333333333,21
#ViralVideo,2024-05-31,10.119245510525587,1600254,4969510,0.1175,16
#History,2024-05-31,10.000288814618331,1170960,3926855,-0.11100000000000002,10
#Sustainability,2024-05-31,9.902493489163888,1303828,4526484,-0.060769230769230756,13
#Entrepreneur,2024-05-31,9.220302031127039,1285549,4975377,-0.022142857142857138,14
#FoodPorn,2024-05-31,8.7252831909928,1836811,6429285,0.020476190476190474,21
#Innovation,2024-05-31,8.5068467203575,1214106,4704442,-0.10285714285714286,14
#Python,2024-05-31,7.399499144812384,2073402,7755827,0.1290909090909091,22
#Blockchain,2024-05-31,6.596546794342512,1526405,6931692,0.06687500000000002,16
#ClimateChange,2024-05-31,5.521447844873334,1326612,4565264,0.05666666666666668,12
#Movies,2024-05-31,4.993346827605649,1372894,4659458,-0.2846153846153846,13
#Nature,2024-05-31,4.262831718409265,1689283,7292617,-0.04733333333333333,15
#Education,2024-05-31,3.531136803359205,1197190,4671539,0.09166666666666667,12
#MusicMonday,2024-05-31,3.1004895199958304,1730010,5215244,0.12714285714285714,14
#BreakingNews,2024-05-31,3.016976794264148,1560495,6011837,-0.13705882352941176,17
#Fashion,2024-05-31,0.9262019726448039,1742502,6831191,-0.09923076923076923,13
#SmartCity,2024-05-31,0.1910758092141548,1017276,3780112,-0.35777777777777775,9
#Coding,2024-05-31,0.11960062432430467,1388819,5431270,0.02727272727272728,11
#Books,2024-05-31,-0.5895308308039303,1985785,7910005,0.004545454545454541,22
#Vegan,2024-05-31,-1.016273235890703,1257630,5403930,0.11857142857142856,14
#Investing,2024-05-31,-1.0567990075098397,1319712,6339609,-0.1223076923076923,13
#RemoteWork,2024-05-31,-1.155368490337719,1400924,4620796,-0.015555555555555557,18
#Productivity,2024-05-31,-1.5176603767892314,1365751,5429643,-0.030769230769230767,13
#AIArt,2024-05-31,-1.5231320956845957,1239047,5121543,-0.16583333333333333,12
#EcoFriendly,2024-05-31,-1.9282410384401802,1553801,5189812,-0.028749999999999998,16
#Business,2024-05-31,-2.222629415506568,1707430,8068967,0.026249999999999996,16
#MentalHealth,2024-05-31,-2.3968633275577518,1107429,4436004,-0.09916666666666667,12
#DeepLearning,2024-05-31,-2.4174643802034694,812723,3497591,-0.1957142857142857,7
#Gaming,2024-05-31,-2.4503953953378974,1088101,3971773,0.18555555555555556,9
#WorldCup,2024-05-31,-3.000001060212529,1253507,5750147,0.13153846153846155,13
#Elections2025,2024-05-31,-3.264604005923271,1374974,5999662,-0.22846153846153844,13
#BigData,2024-05-31,-3.62490407456822,1326957,5986142,-0.15142857142857144,14
#Science,2024-05-31,-3.982770584430722,1591496,6353016,0.19625,16
#Politics,2024-05-31,-4.518568564479406,674564,2691164,-0.017142857142857133,7
#Health,2024-05-31,-4.558954227295729,1146800,5118675,-0.22090909090909092,11
#FitnessGoals,2024-05-31,-4.658059443045505,1337725,4229252,0.09749999999999999,12
#MachineLearning,2024-05-31,-4.784629622231534,1069588,3853757,-0.07,11
#AI,2024-05-31,-4.794451288731462,1377087,5263595,0.38999999999999996,13
#Travel,2024-05-31,-4.814503265236085,679358,2468863,-0.3211111111111111,9
#Photography,2024-05-31,-5.094894282060613,792904,2964344,-0.24875,8
#Cloud,2024-05-31,-5.684253146505945,907242,3620752,-0.21400000000000002,10
#Motivation,2024-05-31,-7.186618851272578,872229,2801054,-0.14125000000000001,8
#Robotics,2024-05-31,-7.22172954937537,906911,3888569,0.05111111111111112,9
#IoT,2024-05-31,-7.7472765647341415,774025,3374603,-0.047,10
#Crypto,2024-05-31,-8.200716971713412,854444,2811978,-0.10636363636363635,11
#Oscars,2024-05-31,-8.45806255079038,740576,2706803,-0.051818181818181826,11
#Analytics,2024-05-31,-8.933470805788668,991071,4166335,0.13428571428571429,14
#TechNews,2024-05-31,-9.412468233056416,617053,2098521,0.11666666666666667,9
#DataScience,2024-05-31,-9.765964323253893,772949,2868365,-0.007777777777777776,9
#TechNews,2024-06-01,35.004206335951096,2126249,7572323,-0.09647058823529411,17
#IoT,2024-06-01,16.554632205725103,1564861,6858578,0.029333333333333336,15
#DataScience,2024-06-01,14.323033493112419,1439779,3979707,0.09250000000000001,12
#MentalHealth,2024-06-01,14.06271505612016,1868713,7091139,0.29684210526315785,19
#Photography,2024-06-01,12.937470698635988,1438306,4770661,0.03357142857142858,14
#Oscars,2024-06-01,12.186371812215015,1293549,4616987,0.06357142857142857,14
#Robotics,2024-06-01,10.933606198271034,1560925,5183728,-0.01937500000000001,16
#Travel,2024-06-01,10.766525784343406,1189682,4733710,-0.0675,12
#Startup,2024-06-01,8.51758489067687,2148689,8854867,0.15761904761904763,21
#Elections2025,2024-06-01,7.681592035482472,1995176,6399402,0.08666666666666667,18
#Innovation,2024-06-01,7.657781996342292,1809550,5430600,0.006874999999999999,16
#Motivation,2024-06-01,7.526619229121932,1307661,4259761,-0.012307692307692306,13
#DeepLearning,2024-06-01,7.201808540094239,1314280,5268319,-0.246,10
#Politics,2024-06-01,6.3378239632333715,920097,3916312,0.147,10
#Sustainability,2024-06-01,3.5347655667601274,1642005,5930411,-0.12615384615384617,13
#Cloud,2024-06-01,2.775534501974984,1106094,4108336,-0.16846153846153847,13
#Vegan,2024-06-01,2.5052486863918952,1446455,4841414,0.08400000000000002,15
#Nature,2024-06-01,2.431232583293952,1991286,6985120,-0.13705882352941176,17
#Science,2024-06-01,2.0715640102469295,1782488,6919980,0.096,15
#RemoteWork,2024-06-01,0.6371315758892458,1459097,4910436,-0.004117647058823533,17
#Health,2024-06-01,0.6231739533224457,1202497,4426878,-0.16153846153846155,13
#CyberSecurity,2024-06-01,0.13213596535863056,1266635,4130455,0.08571428571428572,14
#Blockchain,2024-06-01,-0.04528421846866988,1519539,6176074,-0.35615384615384615,13
#Productivity,2024-06-01,-0.772573709018546,1287639,3952355,-0.11071428571428572,14
#ClimateChange,2024-06-01,-1.0271179946024156,1255188,4145703,0.252,10
#Business,2024-06-01,-1.1202498209472518,1586813,5992051,0.016153846153846154,13
#Analytics,2024-06-01,-1.2638725048296036,884152,3673009,-0.225,8
#BigData,2024-06-01,-1.295281383057845,1210089,4248332,-0.03636363636363636,11
#SmartCity,2024-06-01,-1.3821706725130434,934609,2920257,0.14250000000000002,8
#Gaming,2024-06-01,-1.5945155374781181,950541,2895885,-0.1523076923076923,13
#Entrepreneur,2024-06-01,-1.807248903821332,1146691,4468569,0.09266666666666666,15
#TravelTuesday,2024-06-01,-1.9780686831520113,930161,3212216,-0.25,11
#Hiking,2024-06-01,-2.0618619228681103,1162158,3758353,-0.33666666666666667,12
#Investing,2024-06-01,-2.262187255755479,1146399,3798560,0.137,10
#History,2024-06-01,-2.276599667266932,973272,3985536,-0.11272727272727275,11
#WorldCup,2024-06-01,-2.753705312763616,1020458,4020105,-0.026000000000000002,10
#Python,2024-06-01,-2.950487176632164,1492337,5843238,-0.3242857142857143,14
#AIArt,2024-06-01,-3.6788327010250352,827017,3481458,-0.26555555555555554,9
#Books,2024-06-01,-4.292386845513575,1495971,4540908,0.13526315789473684,19
#Foodie,2024-06-01,-4.45730871156609,1048420,3906528,-0.20666666666666667,9
#Adventure,2024-06-01,-4.5518912032217225,982496,3603735,0.23500000000000001,8
#Art,2024-06-01,-5.0081119016819935,1251217,5111020,0.030714285714285704,14
#FitnessGoals,2024-06-01,-5.0784462002461614,877218,3099267,-0.013000000000000012,10
#MachineLearning,2024-06-01,-5.106288764037862,729227,2474709,0.09,11
#Education,2024-06-01,-5.309579450560859,798220,3266385,0.06222222222222223,9
#Movies,2024-06-01,-5.368337087642634,866555,3103923,-0.026249999999999996,8
#Finance,2024-06-01,-5.546374294650047,1448291,5359594,-0.04,14
#MusicMonday,2024-06-01,-5.76611253786299,1005035,3435493,-0.0857142857142857,7
#NFT,2024-06-01,-6.01968764558838,1545657,5333055,-0.04000000000000001,13
#BreakingNews,2024-06-01,-6.305871679753243,661074,2702625,-0.26125,8
#5G,2024-06-01,-6.4385794852790275,934446,4061918,-0.15384615384615385,13
#SpaceX,2024-06-01,-6.835814668916184,1198758,3873302,-0.05374999999999999,16
#EcoFriendly,2024-06-01,-7.355675166772587,840928,3216519,0.06999999999999999,10
#AI,2024-06-01,-7.559450895948762,757947,2462232,0.14250000000000002,8
#SelfCare,2024-06-01,-7.670194784240726,1339442,4453772,-0.027142857142857142,14
#FoodPorn,2024-06-01,-7.71324227545515,757287,2272832,-0.10333333333333333,9
#ViralVideo,2024-06-01,-8.137620367557439,983489,3360608,0.40499999999999997,8
#Fashion,2024-06-01,-8.568393710590213,922235,3542402,0.207,10
#Stocks,2024-06-01,-8.576934307611367,925924,3438265,0.061999999999999986,10
#Crypto,2024-06-01,-9.55473897001943,380682,1592624,0.20666666666666667,6
#Coding,2024-06-01,-9.929051476088162,566581,1960856,0.1575,8
#MetGala,2024-06-01,-11.417269235074174,710336,2836396,0.19142857142857142,7
#Crypto,2024-06-02,56.54362133792102,1517534,4798928,0.23076923076923078,13
#Coding,2024-06-02,50.305395920994904,2094798,6297072,0.19130434782608696,23
#AIArt,2024-06-02,41.39880248351284,2858933,11021652,0.0391304347826087,23
#AI,2024-06-02,31.341553220743023,2262029,9122415,-0.01450000000000001,20
#MetGala,2024-06-02,27.259371347792403,1956556,6493190,-0.009473684210526325,19
#Analytics,2024-06-02,25.41815280861568,2193892,7874240,0.08058823529411763,17
#Stocks,2024-06-02,23.028588553519924,2313143,7406620,-0.02826086956521739,23
#Politics,2024-06-02,17.9601996732217,1924293,6902942,0.045,16
#Cloud,2024-06-02,15.557419725160944,2398880,8553290,-0.16608695652173913,23
#ViralVideo,2024-06-02,13.316632329919202,1672666,6356029,0.213125,16
#Education,2024-06-02,12.627836294239831,1438465,6046996,0.00823529411764707,17
#FoodPorn,2024-06-02,11.962120387654247,1238899,5428414,0.21294117647058824,17
#5G,2024-06-02,9.960961389695576,1529109,6277904,-8.540177112501205e-18,13
#History,2024-06-02,9.879644339642772,1558817,5228482,0.06153846153846154,13
#BreakingNews,2024-06-02,9.181372357929154,1093571,3881273,-0.075,12
#Gaming,2024-06-02,8.153287393970022,1396759,5820743,0.11499999999999999,10
#CyberSecurity,2024-06-02,7.653801349713419,1956155,6962034,-0.10764705882352942,17
#TravelTuesday,2024-06-02,7.3259493848608255,1447190,5197149,-0.14769230769230768,13
#ClimateChange,2024-06-02,7.317199819643388,1725454,6522383,0.2447058823529412,17
#SmartCity,2024-06-02,6.924555291077018,1511646,5732403,-0.2792857142857143,14
#Travel,2024-06-02,6.041876170880306,1614625,6928668,0.07388888888888889,18
#Adventure,2024-06-02,4.673312749857422,1313788,5160813,-0.10333333333333335,15
#Entrepreneur,2024-06-02,4.592954772802003,1497245,5451759,-0.03142857142857142,14
#WorldCup,2024-06-02,4.074460956249765,1313062,4442367,-0.07166666666666666,12
#EcoFriendly,2024-06-02,4.019331218377633,1084494,4131958,-0.08909090909090911,11
#Photography,2024-06-02,3.9849045142296697,1801345,6551987,0.005882352941176466,17
#Oscars,2024-06-02,3.854317360438379,1589042,5670775,0.08500000000000002,18
#Blockchain,2024-06-02,3.621857385572443,1862974,5809969,0.02888888888888889,18
#MachineLearning,2024-06-02,3.5124221272317158,909185,3275327,-0.05124999999999999,8
#MusicMonday,2024-06-02,3.3405357653044403,1246161,4704588,-0.09375,16
#Fashion,2024-06-02,3.168043883349637,1148973,4466464,-0.15846153846153846,13
#SelfCare,2024-06-02,3.1045808883717507,1558563,5372761,0.2246153846153846,13
#Art,2024-06-02,2.729322169269869,1424012,6183053,0.26384615384615384,13
#Python,2024-06-02,2.2114259872221527,1719692,5661308,-0.0664705882352941,17
#Robotics,2024-06-02,1.6235211434508745,1780802,7020791,-0.2688888888888889,18
#DeepLearning,2024-06-02,1.547979141057094,1495157,5467284,-0.275,14
#Movies,2024-06-02,0.994507492131332,938087,3411072,-0.1990909090909091,11
#FitnessGoals,2024-06-02,0.5915156370038739,903459,3556067,0.3109090909090909,11
#Productivity,2024-06-02,0.05934181812268316,1291861,5615604,0.16454545454545452,11
#NFT,2024-06-02,-0.7815845352225987,1489006,5367260,0.3761538461538461,13
#Foodie,2024-06-02,-1.710568285481574,950410,4267684,0.19857142857142857,7
#Startup,2024-06-02,-1.770205921475126,1832823,6971176,-0.23578947368421055,19
